date,language,percent
2017-01-01,Scala,0.30290225279585
2017-01-01,Python,6.316660385283544
2017-01-01,R,0.6802928266604742
2017-01-01,MATLAB,0.34528572679409625
2017-01-01,Fortran,0.02893243135209627
2017-02-01,Julia,0.02728360836396808
2017-02-01,Scala,0.2813770393014447
2017-02-01,Python,6.178195177444286
2017-02-01,R,0.6287092362131775
2017-02-01,MATLAB,0.33262277327202827
2017-02-01,Fortran,0.03107958865808538
2017-03-01,Julia,0.030014241656947292
2017-03-01,Scala,0.2744590889771187
2017-03-01,Python,6.0682149180852925
2017-03-01,R,0.6061265311795597
2017-03-01,MATLAB,0.3438544329423424
2017-03-01,Fortran,0.02830201981745701
2017-04-01,Julia,0.02649272006767888
2017-04-01,Scala,0.25591077073778884
2017-04-01,Python,6.242041052584709
2017-04-01,R,0.6073289104590587
2017-04-01,MATLAB,0.3465203259272452
2017-04-01,Fortran,0.02805111536577764
2017-05-01,Julia,0.02934734759759352
2017-05-01,Scala,0.2531480464992419
2017-05-01,Python,6.2379417726884885
2017-05-01,R,0.6197725037091787
2017-05-01,MATLAB,0.3346684564925572
2017-05-01,Fortran,0.031629919077406345
2017-06-01,Julia,0.02753509557945042
2017-06-01,Scala,0.2677671370967742
2017-06-01,Python,6.474131011051373
2017-06-01,R,0.6298069743130228
2017-06-01,MATLAB,0.32937107974910396
2017-06-01,Fortran,0.033368802270011946
2017-07-01,Julia,0.02549169779199224
2017-07-01,Scala,0.25851052122099616
2017-07-01,Python,6.542943965430113
2017-07-01,R,0.6025922922988122
2017-07-01,MATLAB,0.2957935329696368
2017-07-01,Fortran,0.030432819830968707
2017-08-01,Julia,0.027453959489422506
2017-08-01,Scala,0.24940102957860927
2017-08-01,Python,6.2975413821580135
2017-08-01,R,0.5777459747974857
2017-08-01,MATLAB,0.2822575754735808
2017-08-01,Fortran,0.02734370262400314
2017-09-01,Julia,0.02386790643780676
2017-09-01,Scala,0.22470511915593291
2017-09-01,Python,6.648843936531769
2017-09-01,R,0.5952696665429071
2017-09-01,MATLAB,0.3178307541034439
2017-09-01,Fortran,0.02702989404281535
2017-10-01,Julia,0.027036366769258892
2017-10-01,Scala,0.2119118043252475
2017-10-01,Python,6.893987930737398
2017-10-01,R,0.5864226031642069
2017-10-01,MATLAB,0.33871617241205326
2017-10-01,Fortran,0.02894033626005177
2017-11-01,Julia,0.026605237918050185
2017-11-01,Scala,0.22723334876626494
2017-11-01,Python,6.948038360776494
2017-11-01,R,0.582001414527596
2017-11-01,MATLAB,0.34274363438911626
2017-11-01,Fortran,0.027836085223867456
2017-12-01,Julia,0.027864526956786408
2017-12-01,Scala,0.2417783569788851
2017-12-01,Python,7.248099317747775
2017-12-01,R,0.5691865487211254
2017-12-01,MATLAB,0.33951854384268976
2017-12-01,Fortran,0.027221499411629796
2018-01-01,Julia,0.028704515533098975
2018-01-01,Scala,0.2319361655735337
2018-01-01,Python,7.180544962587527
2018-01-01,R,0.621103155012664
2018-01-01,MATLAB,0.324765832794357
